2027 GKS-U Available Departments,__EMPTY,__EMPTY_1,__EMPTY_2,__EMPTY_3,__EMPTY_4,__EMPTY_5,__EMPTY_6,__EMPTY_7,__EMPTY_8,__EMPTY_9,__EMPTY_10,__EMPTY_11,__EMPTY_12,__EMPTY_13,__EMPTY_14,__EMPTY_15,__EMPTY_16,Source_File,Sheet_Name,2027 GKS-Korea University Available Departments for Undergraduate Degrees,__EMPTY_17
10,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,물리⋅천문학부(물리학전공),Physics & Astronomy(Physics),자연,Natural Sciences,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://physics.snu.ac.kr/,,,available departments (1).xlsx,Seoul National University,,
11,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,물리⋅천문학부(천문학전공),Physics & Astronomy(Astronomy),자연,Natural Sciences,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,http://astro.snu.ac.kr,,,available departments (1).xlsx,Seoul National University,,
12,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,화학부,Chemistry,자연,Natural Sciences,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://chem.snu.ac.kr/,,,available departments (1).xlsx,Seoul National University,,
13,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,생명과학부,Biological Sciences,자연,Natural Sciences,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://biosci.snu.ac.kr/,,,available departments (1).xlsx,Seoul National University,,
14,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,지구환경과학부,Earth and Environmental Sciences,자연,Natural Sciences,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://sees.snu.ac.kr/en,,,available departments (1).xlsx,Seoul National University,,
15,서울대학교,Seoul National University,"Seoul
/Yeongeon",Embassy Track,A,간호학과,Nursing,자연,Natural Sciences,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://nursing.snu.ac.kr/en,,,available departments (1).xlsx,Seoul National University,,
16,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,경영학과,Business Administration,사회,Social Sciences,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://cba.snu.ac.kr/en,,,available departments (1).xlsx,Seoul National University,,
17,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,건설환경도시공학부,"Civil, Urban and Environmental Engineering",공학,Engneering,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,,,,available departments (1).xlsx,Seoul National University,,
18,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,기계공학부,Mechanical Engineering,공학,Engneering,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,,,,available departments (1).xlsx,Seoul National University,,
19,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,항공우주공학과,Aerospace Engineering,공학,Engneering,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://aerospace.snu.ac.kr/,,Fluency in Korean required,available departments (1).xlsx,Seoul National University,,
20,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,재료공학부,Department of Materials Science and Engineering,공학,Engneering,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,,,,available departments (1).xlsx,Seoul National University,,
21,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,전기⋅정보공학부,Electrical and Computer Engineering,공학,Engneering,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,,,,available departments (1).xlsx,Seoul National University,,
22,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,컴퓨터공학부,Computer Science and Engineering,공학,Engineering,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://cse.snu.ac.kr/,,"Between 25% to 35% of the courses are in English, fluctuating each semester",available departments (1).xlsx,Seoul National University,,
23,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,화학생물공학부,Chemical and Biological Engineering,공학,Engneering,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://cbe.snu.ac.kr,,5~6 class in English may be offered in a semester,available departments (1).xlsx,Seoul National University,,
24,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,건축학과(건축공학전공),Architecture and Architectural Engineering(Architectural Engineering),공학,Engneering,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,,,,available departments (1).xlsx,Seoul National University,,
25,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,건축학과(건축학전공),Architecture and Architectural Engineering(Architecture),공학,Engneering,Bachelor's,5,Korean / English,TOPIK 3 or above,March or September,,,,available departments (1).xlsx,Seoul National University,,
26,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,산업공학과,Industrial Engineering,공학,Engneering,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,,,,available departments (1).xlsx,Seoul National University,,
27,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,에너지자원공학과,Energy Resources Engineering,공학,Engneering,Bachelor's,4,Korean 100%,TOPIK 3 or above,March or September,,,,available departments (1).xlsx,Seoul National University,,
28,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,원자핵공학과,Nuclear Engineering,공학,Engneering,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://nucleng.snu.ac.kr/en,,,available departments (1).xlsx,Seoul National University,,
29,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,조선해양공학과,Naval Architecture and Ocean Engineering,공학,Engneering,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,,,,available departments (1).xlsx,Seoul National University,,
30,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,농경제사회학부,Agricultural Economics & Rural Development,인문,Humanities,Bachelor's,4,Korean/English,TOPIK 3 or above,March or September,https://aerd.snu.ac.kr/,,Almost all lectures are conducted in Korean,available departments (1).xlsx,Seoul National University,,
31,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,식물생산과학부,Plant Science,자연,Natural Sciences,Bachelor's,4,Korean/English,TOPIK 3 or above,March or September,https://plantsci.snu.ac.kr/,,Almost all lectures are conducted in Korean,available departments (1).xlsx,Seoul National University,,
32,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,산림과학부,Forest Sciences,자연,Natural Sciences,Bachelor's,4,Korean/English,TOPIK 3 or above,March or September,http://forestry.snu.ac.kr,,Almost all lectures are conducted in Korean,available departments (1).xlsx,Seoul National University,,
33,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,식품⋅동물생명공학부,Food and Animal Biotechnology,자연,Natural Sciences,Bachelor's,4,Korean/English,TOPIK 3 or above,March or September,https://fabio.snu.ac.kr/,,Almost all lectures are conducted in Korean,available departments (1).xlsx,Seoul National University,,
34,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,응용생물화학부,Applied Biology and Chemistry,자연,Natural Sciences,Bachelor's,4,Korean/English,TOPIK 3 or above,March or September,http://abc.snu.ac.kr,,Almost all lectures are conducted in Korean,available departments (1).xlsx,Seoul National University,,
35,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,조경⋅지역시스템공학부,Landscape Architecture and Rural Systems Engineering,공학,Engneering,Bachelor's,4,Korean/English,TOPIK 3 or above,March or September,http://larse.snu.ac.kr,,Almost all lectures are conducted in Korean,available departments (1).xlsx,Seoul National University,,
36,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,바이오시스템⋅소재학부,Biosystems & Biomaterials Science and Engineering,공학,Engneering,Bachelor's,4,Korean/English,TOPIK 3 or above,March or September,https://bio4u.snu.ac.kr/,,Almost all lectures are conducted in Korean,available departments (1).xlsx,Seoul National University,,
37,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,동양화과,Oriental Painting,예체능,Arts & Sports,Bachelor's,4,Korean 100%,TOPIK 3 or above,March or September,,,,available departments (1).xlsx,Seoul National University,,
38,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,서양화과,Painting,예체능,Arts & Sports,Bachelor's,4,Korean 100%,TOPIK 3 or above,March or September,,,,available departments (1).xlsx,Seoul National University,,
39,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,조소과,Sculpture,예체능,Arts & Sports,Bachelor's,4,Korean 100%,TOPIK 3 or above,March or September,,,,available departments (1).xlsx,Seoul National University,,
40,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,공예과,Craft,예체능,Arts & Sports,Bachelor's,4,Korean 100%,TOPIK 3 or above,March or September,,,,available departments (1).xlsx,Seoul National University,,
41,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,디자인과,Design,예체능,Arts & Sports,Bachelor's,4,Korean 100%,TOPIK 3 or above,March or September,,,,available departments (1).xlsx,Seoul National University,,
42,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,교육학과,Education,교육,Education,Bachelor's,4,Korean 100%,TOPIK 3 or above,March or September,,,1~2 class in english,available departments (1).xlsx,Seoul National University,,
43,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,국어교육과,Korean Language Education,교육,Education,Bachelor's,4,Korean 100%,TOPIK 3 or above,March or September,,,,available departments (1).xlsx,Seoul National University,,
44,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,영어교육과,English Language Education,교육,Education,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,,,50% English,available departments (1).xlsx,Seoul National University,,
45,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,독어교육과,German Language Education,교육,Education,Bachelor's,4,Korean 100%,TOPIK 3 or above,March or September,https://germanedu.snu.ac.kr,,24% German,available departments (1).xlsx,Seoul National University,,
46,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,불어교육과,French Language Education,교육,Education,Bachelor's,4,Korean 100%,TOPIK 3 or above,March or September,,,25% French,available departments (1).xlsx,Seoul National University,,
47,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,사회교육과,Social Studies Education,교육,Education,Bachelor's,4,Korean 100%,TOPIK 3 or above,March or September,,,1~2 class in english,available departments (1).xlsx,Seoul National University,,
48,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,역사교육과,History Education,교육,Education,Bachelor's,4,Korean 100%,TOPIK 3 or above,March or September,,,1~2 class in english,available departments (1).xlsx,Seoul National University,,
49,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,지리교육과,Geography Education,교육,Education,Bachelor's,4,Korean 100%,TOPIK 3 or above,March or September,,,1~2 class in english,available departments (1).xlsx,Seoul National University,,
50,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,윤리교육과,Ethics Education,교육,Education,Bachelor's,4,Korean 100%,TOPIK 3 or above,March or September,,,1~2 class in english,available departments (1).xlsx,Seoul National University,,
51,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,수학교육과,Mathematics Education,교육,Education,Bachelor's,4,Korean 100%,TOPIK 3 or above,March or September,,,1~2 class in english,available departments (1).xlsx,Seoul National University,,
52,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,물리교육과,Physics Education,교육,Education,Bachelor's,4,Korean 100%,TOPIK 3 or above,March or September,,,1~2 class in english,available departments (1).xlsx,Seoul National University,,
53,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,화학교육과,Chemistry Education,교육,Education,Bachelor's,4,Korean 100%,TOPIK 3 or above,March or September,,,1~2 class in english,available departments (1).xlsx,Seoul National University,,
54,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,생물교육과,Biology Education,교육,Education,Bachelor's,4,Korean 100%,TOPIK 3 or above,March or September,,,1~2 class in english,available departments (1).xlsx,Seoul National University,,
55,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,지구과학교육과,Earth Science Education,교육,Education,Bachelor's,4,Korean 100%,TOPIK 3 or above,March or September,,,1~2 class in english,available departments (1).xlsx,Seoul National University,,
56,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,체육교육과,Physical Education,교육,Education,Bachelor's,4,Korean 100%,TOPIK 3 or above,March or September,,,1~2 class in english,available departments (1).xlsx,Seoul National University,,
57,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,소비자아동학부(소비자학전공),Consumer and Child Studies(Consumer Science),사회,Social Sciences,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://consumer.snu.ac.kr/,,0-1 English-taught course per semester,available departments (1).xlsx,Seoul National University,,
58,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,소비자아동학부(아동가족학전공),Consumer and Child Studies(Child Development & Family Studies),사회,Social Sciences,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,"https://childfamily.snu.ac.kr/
https://childfamily.snu.ac.kr/en/",,0-2 English-taught courses per semester,available departments (1).xlsx,Seoul National University,,
59,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,식품영양학과,Food and Nutrition,자연,Natural Sciences,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://foodnutrition.snu.ac.kr/en,,0-2 English-taught courses per semester,available departments (1).xlsx,Seoul National University,,
60,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,의류학과,Fashion and Textiles,자연,Natural Sciences,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://clothing.snu.ac.kr/en,,0-2 English-taught courses per semester,available departments (1).xlsx,Seoul National University,,
61,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,성악과,Vocal Music,예체능,Arts & Sports,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://music.snu.ac.kr,02)880-7930,,available departments (1).xlsx,Seoul National University,,
62,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,작곡과,Composition,예체능,Arts & Sports,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://music.snu.ac.kr,02)880-7944,,available departments (1).xlsx,Seoul National University,,
63,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,음악학과,Musicology,예체능,Arts & Sports,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://music.snu.ac.kr,02)880-7945,,available departments (1).xlsx,Seoul National University,,
64,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,피아노과,Piano,예체능,Arts & Sports,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://music.snu.ac.kr,02)880-7960,,available departments (1).xlsx,Seoul National University,,
65,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,관현악과,Orchestral Instruments,예체능,Arts & Sports,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://music.snu.ac.kr,02)880-7961/7962,,available departments (1).xlsx,Seoul National University,,
66,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,국악과,Korean Music,예체능,Arts & Sports,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://music.snu.ac.kr,02)880-7981/7982,,available departments (1).xlsx,Seoul National University,,
67,서울대학교,Seoul National University,"Seoul
/Yeongeon",Embassy Track,A,의학과,Medicine,의학,Medicine,Bachelor's,6,Korean 100%,TOPIK 3 or above,March or September,,,,available departments (1).xlsx,Seoul National University,,
68,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,첨단융합학부,School of Transdisciplinary Innovations,공학,Engneering,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://snuti.snu.ac.kr/,"+82-2-880-8058
(snuti@snu.ac.kr)","The School of Transdisciplinary Innovations (SNUTI) offers curricula in five majors: Digital Healthcare, Integrative Data Science, Sustainable Technology, Intelligent Semiconductor System, and Innovative Pharmaceutical Sciences. Each student at SNUTI can choose his or her major after exploring the five programs during the first three semesters. They are also free to pursue double majors or minors among the programs.",available departments (1).xlsx,Seoul National University,,
69,서울대학교,Seoul National University,"Seoul/
Gwanak",Embassy Track,A,자유전공학부,College of Liberal Studies,사회,Social Sciences,Bachelor's,4,Korean / English,TOPIK 3 or above,March or September,https://cls.snu.ac.kr/en/,,1~2 class in english,available departments (1).xlsx,Seoul National University,,
No.,대학명,"University
(대학알리미 공시 명칭)",Application Track,Embassy Track Type,Campus Location,학과명,"Department
(대학알리미 공시 명칭)",학과계열,"Field of Study
(Division)",Degree Program,"Period
(years)",Medium of Instruction,Required TOPIK for Admission after Language Program,Program starts,Website URL for detailed information,Telephone for detailed information,Remarks,available departments (10).xlsx,Sejong University,,
1,세종대학교,Sejong University,Embassy Track ,A,Seoul,국어국문학과,Department of Korean Language and Literature,인문,Humanities,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://sos.sejong.ac.kr/eng/index.do,+82-2-6935-2645,,available departments (10).xlsx,Sejong University,,
2,세종대학교,Sejong University,Embassy Track ,A,Seoul,국제학부,Division of International Studies,인문,Humanities,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://sos.sejong.ac.kr/eng/index.do,+82-2-6935-2645,Major declaration is required in the second year with options including English Data Convergence / International Japanese Studies / Chinese Trade and Commerce,available departments (10).xlsx,Sejong University,,
3,세종대학교,Sejong University,Embassy Track ,A,Seoul,역사학과,Department of History,인문,Humanities,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://sos.sejong.ac.kr/eng/index.do,+82-2-6935-2645,,available departments (10).xlsx,Sejong University,,
4,세종대학교,Sejong University,Embassy Track ,A,Seoul,교육학과,Department of Education,교육,Education,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://sos.sejong.ac.kr/eng/index.do,+82-2-6935-2645,,available departments (10).xlsx,Sejong University,,
7,세종대학교,Sejong University,Embassy Track ,A,Seoul,행정학과,Department of Public Administration,사회,Social Science,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://sos.sejong.ac.kr/eng/index.do,+82-2-6935-2645,,available departments (10).xlsx,Sejong University,,
8,세종대학교,Sejong University,Embassy Track ,A,Seoul,행정학과 English Track,Department of Public Administration (English Track),사회,Social Science,Bachelor's degree,4,English 100%,TOPIK 3 or above,March or September,https://sos.sejong.ac.kr/eng/index.do,+82-2-6935-2645,Courses fully conducted in English ( + IELTS 5.5/TOEFL iBT 3.5/New TEPS 202),available departments (10).xlsx,Sejong University,,
9,세종대학교,Sejong University,Embassy Track ,A,Seoul,미디어커뮤니케이션학과,Department of Media and Communication,사회,Social Science,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://sos.sejong.ac.kr/eng/index.do,+82-2-6935-2645,,available departments (10).xlsx,Sejong University,,
10,세종대학교,Sejong University,Embassy Track ,A,Seoul,미디어커뮤니케이션학과 English Track,Department of Media and Communication (English Track),사회,Social Science,Bachelor's degree,4,English 100%,TOPIK 3 or above,March or September,https://sos.sejong.ac.kr/eng/index.do,+82-2-6935-2645,Courses fully conducted in English ( + IELTS 5.5/TOEFL iBT 3.5/New TEPS 202),available departments (10).xlsx,Sejong University,,
11,세종대학교,Sejong University,Embassy Track ,A,Seoul,법학과,Department of Law,사회,Social Science,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://sos.sejong.ac.kr/eng/index.do,+82-2-6935-2645,,available departments (10).xlsx,Sejong University,,
12,세종대학교,Sejong University,Embassy Track ,A,Seoul,경영학부,Faculty of Business Administration,사회,Social Science,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://sos.sejong.ac.kr/eng/index.do,+82-2-6935-2645,,available departments (10).xlsx,Sejong University,,
13,세종대학교,Sejong University,Embassy Track ,A,Seoul,경영학부 English Track,Faculty of Business Administration (English Track),사회,Social Science,Bachelor's degree,4,English 100%,TOPIK 3 or above,March or September,https://sos.sejong.ac.kr/eng/index.do,+82-2-6935-2645,Courses fully conducted in English( + IELTS 5.5/TOEFL iBT 3.5/New TEPS 202),available departments (10).xlsx,Sejong University,,
14,세종대학교,Sejong University,Embassy Track ,A,Seoul,경제학과,Department of Economics,사회,Social Science,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://sos.sejong.ac.kr/eng/index.do,+82-2-6935-2645,,available departments (10).xlsx,Sejong University,,
15,세종대학교,Sejong University,Embassy Track ,A,Seoul,경제학과 English Track,Department of Economics (English Track),사회,Social Science,Bachelor's degree,4,English 100%,TOPIK 3 or above,March or September,https://sos.sejong.ac.kr/eng/index.do,+82-2-6935-2645,Courses fully conducted in English( + IELTS 5.5/TOEFL iBT 3.5/New TEPS 202),available departments (10).xlsx,Sejong University,,
16,세종대학교,Sejong University,Embassy Track ,A,Seoul,호텔관광외식경영학부,"Faculty of Hospitality, Tourism & Food Service Management",사회,Social Science,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://sos.sejong.ac.kr/eng/index.do,+82-2-6935-2645,Major declaration is required in the second year with options including Hospitality and Tourism Management / Food Service Management,available departments (10).xlsx,Sejong University,,
17,세종대학교,Sejong University,Embassy Track ,A,Seoul,호텔관광외식경영학부 English Track,"Faculty of Hospitality, Tourism & Food Service Management (English Track)",사회,Social Science,Bachelor's degree,4,English 100%,TOPIK 3 or above,March or September,https://sos.sejong.ac.kr/eng/index.do,+82-2-6935-2645,"- Major selection is required upon admission application with an option including Hospitality and Tourism Management 
- Courses fully conducted in English(+ IELTS 5.5/TOEFL iBT 3.5/New TEPS 202)",available departments (10).xlsx,Sejong University,,
18,세종대학교,Sejong University,Embassy Track ,A,Seoul,수학통계학과,Department of Mathematics & Statistics,자연,Natural Science,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://sos.sejong.ac.kr/eng/index.do,+82-2-6935-2645,,available departments (10).xlsx,Sejong University,,
19,세종대학교,Sejong University,Embassy Track ,A,Seoul,물리천문학과,Department of Physics and Astronomy,자연,Natural Science,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://sos.sejong.ac.kr/eng/index.do,+82-2-6935-2645,,available departments (10).xlsx,Sejong University,,
20,세종대학교,Sejong University,Embassy Track ,A,Seoul,화학과,Department of Chemistry,자연,Natural Science,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://sos.sejong.ac.kr/eng/index.do,+82-2-6935-2645,,available departments (10).xlsx,Sejong University,,
21,세종대학교,Sejong University,Embassy Track ,A,Seoul,생명시스템학부,Faculty of Life Sciences,자연,Natural Science,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://sos.sejong.ac.kr/eng/index.do,+82-2-6935-2645,Major declaration is required in the second year with options including Food Science and Biotechnology / Integrative Bioscience and Biotechnology / Bioindustry and Bioresource Engineering,available departments (10).xlsx,Sejong University,,
22,세종대학교,Sejong University,Embassy Track ,A,Seoul,스마트생명산업융합학과,Department of Integrative Biological Sciences and Industry,자연,Natural Science,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://sos.sejong.ac.kr/eng/index.do,+82-2-6935-2645,,available departments (10).xlsx,Sejong University,,
23,세종대학교,Sejong University,Embassy Track ,A,Seoul,AI융합전자공학과,Department of AI Convergence Electronic Engineering,공학,Engineering,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://sos.sejong.ac.kr/eng/index.do,+82-2-6935-2645,,available departments (10).xlsx,Sejong University,,
24,세종대학교,Sejong University,Embassy Track ,A,Seoul,반도체시스템공학과,Department of Semiconductor Systems Engineering,공학,Engineering,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://sos.sejong.ac.kr/eng/index.do,+82-2-6935-2645,,available departments (10).xlsx,Sejong University,,
25,세종대학교,Sejong University,Embassy Track ,A,Seoul,컴퓨터공학과,Department of Computer Science and Engineering,공학,Engineering,Bachelor's degree,4,Korean 100%,TOPIK 3 or above,March or September,https://sos.sejong.ac.kr/eng/index.do,+82-2-6935-2645,,available departments (10).xlsx,Sejong University,,
